company_name,scopes
任天堂株式会社,「娯楽は他と違うからこそ価値がある」という「独創」の精神を大切にし、お客様に良い意味で驚いていただける商品やサービスを提供
ソニー株式会社," 夢と好奇心
多様性
高潔さと誠実さ
持続可能性"
株式会社星野リゾート,リゾート経営の達人になる
マツダ株式会社," クルマをこよなく愛しています。人々と共に、クルマを通じて豊かな人生を過ごしていきたい。
未来においても地球や社会とクルマが共存している姿を思い描き、どんな困難にも独創的な発想で挑戦し続けています。"
合同会社DMM.com,規模の大小、ジャンル関係なく、 未来を感じるビジネスにはひとまず投資。 なんでもやります。ひとまずなんでもやっちゃいます。
ヤフー株式会社,インターネットができることは無限にあります。ヤフーはこれからもチャレンジを続け、全てのステークホルダーの皆様にとって必要不可欠な存在となることを目指します。
株式会社オリエンタルランド," 自由でみずみずしい発想を原動力に
すばらしい夢と感動
ひととしての喜び
そしてやすらぎを提供します。"
パナソニック株式会社," A Better Life, A Better World
より良いくらしを創造し、
世界中の人々のしあわせと、社会の発展、そして地球の未来に貢献しつづけることをお約束します。"
株式会社資生堂,多くの人々との出会いを通じて、新しく深みのある価値を発見し、美しい生活文化を創造します。
住友不動産株式会社,より良い社会資産を創造し、それを後世に残していく
日産自動車株式会社,独自性に溢れ、革新的な車やサービスを創造し、その目に見える優れた価値を、全てのステークホルダーに提供します。それらはルノーとの提携のもとに行っていきます。
株式会社ミルボン," 美しい生き方、美しい髪は人の心を豊かにします。豊かな心は文化を育みます。
文化を大切にする社会は平和をもたらします。
ミルボンはそう信じて事業展開を推進し、業界、ひいては国、地域に貢献します。"
株式会社ノジマ,デジタルGS4(Goods・Soft・Support・Service・Solution)を提供・普及させ、 地域、さらには日本の発展に貢献する
株式会社メルカリ,大胆にやろう・全ては成功のために・プロフェッショナルであれ
株式会社セブン&アイ・ホールディングス,お客様をはじめすべてのステークホルダーの皆様との信頼関係をより緊密にしながら、今後も生活の中に便利さ、快適さ、安心感、満足感などを生み出す素晴らしい｢体験｣をお届けしてまいります。
株式会社キーエンス,全ては付加価値の創造のために
株式会社パソナグループ," 社会の問題点を解決する
この役割を果たすため、常に高い志と使命感をもち、新たな社会インフラを構築し、果敢に挑戦し続けることを使命とします。"
日本マイクロソフト株式会社,革新的で、安心して使っていただけるインテリジェントテクノロジを通して、日本の社会変革に貢献する
日本マクドナルドホールディングス株式会社,ハンバーガービジネスで培った資産を有効活用し、経営の効率化と機動性の強化を通して企業価値の向上を図ることにより、長期的かつ安定的なグループ企業の成長を図りたいと考えております。
株式会社良品計画,「良品」の新たな価値と魅力を生活者の視点で探求し、提供していく。
株式会社アシックス,スポーツでつちかった知的技術により、質の高いライフスタイルを創造する
ウエルシアホールディングス株式会社,地域社会などのステークホルダーにとって最良の企業であるべく、地域を支え地域と共に成長し、社会的価値と経済的価値の創出を実現してまいります。
日本アイ・ビー・エム株式会社,あらゆる関係における信頼と一人ひとりの責任
吉本興業ホールディングス株式会社,吉本興業グループは、「笑い」を中心としたエンタテインメントによる社会貢献と、 「誰もが、いつでも笑顔や笑い声をもてる社会」の実現を目指しています。
株式会社ZOZO," 世界中をカッコよく、世界中に笑顔を。
いい人をつくる
つながる人を増やす"
カルビー株式会社,自然の恵みを大切に活かし、おいしさと楽しさを創造して、人々の健やかなくらしに貢献します。
合同会社ユー・エス・ジェイ,私たちは、ゲストの期待を常に上回る「ワールドクラスの体験」を提供し、 世界のエンターテイメント・リーディングカンパニーを目指します。
株式会社サマンサタバサジャパンリミテッド,すべての世界の人たちに圧倒的な勢いと勇気を感じてもらえる感動的企業
株式会社エスクリ,人の力をコアバリューとし、多様なスタッフが能力や専門性を最大限に発揮し、お互いに活かし合える企業体をめざしています。
トヨタ自動車株式会社,仲間とともに情熱を持って未来を創造していきます
株式会社ビックカメラ," 1、最高のサービスをお客様に提供することで社会に貢献する。
2、お客様第一主義"
山崎製パン株式会社,「良品廉価・顧客本位の精神で品質と製品、サービスをもって世に問う」「知恵と知識によって変化に挑戦し、新しい価値と新しい需要を創造する」
株式会社ジンズ,人々の生き方そのものを豊かに広げ、これまでにない体験へと導きたい。だからこそ、私たちはメガネのその先について考え抜き、「あたらしい、あたりまえ」を創り、まだ見ぬ世界を拓いていく。
LINE株式会社,あらゆるものとユーザーがいつでも、どこでも、最適な距離でシームレスに繋がっていく、LINEを入り口として生活の全てが完結する世界の実現を目指していきます。
株式会社電通,世の中の変化を的確の捉え、社会的価値の創造によりサステナブルな社会の実現を目指します。
株式会社三越伊勢丹ホールディングス," 1、データが自分をつくる。
２、時代より先に変わろう。
3、他社が私を新しくする。"
株式会社バンダイナムコホールディングス,「夢・遊び・感動」は幸せのエンジンです。わたしたちバンダイナムコは斬新な発想と、あくなき情熱で、エンターテインメントを通じた「夢・遊び・感動」を世界中の人々へ提供しつづけます。
株式会社LIXILグループ,優れた製品とサービスを通じて、世界中の人びとの豊かで快適な住生活の未来に貢献します。
株式会社マツモトキヨシホールディングス," あなたにとっての、いちばんへ。
すべてのお客様のためにまごころをつくします。
すべてのお客様の美と健康のために奉仕して参ります。
すべてのお客様にとって、いちばん親切なお店を目指します。"
株式会社ファーストリテイリング,独自の企業活動を通じて人々の暮らしの充実に貢献し、社会との調和ある発展を目指します
